Majority protein IDs	Protein names	gene	S1	S2	S3	DTL1	DTL2	DTL3	ATL	mTAL	cTAL	DCT	CNT	CCD	OMCD	IMCD
A0A0G2JT44	NA	A0A0G2JT44	0	0	0	0	0	0	0	0	0	0	0	0	0	942.8349016470652
A0A0G2JTM1	NA	A0A0G2JTM1	403.6055337060292	10182.55200366413	12635.466529194997	1623.9214393157865	8596.706382250915	0	0	0	0	280.09826563473763	6915.83658896626	10095.744495146919	1780.7369516590138	0
A0A0G2JVT8	NA	A0A0G2JVT8	1626.8046368389817	6.0931105552370655	0	3237.6740671891057	88.82005002592933	2147.0232105235796	0	1683.4321864359347	2805.5726007401704	2246.779414774589	3773.6841085037877	4848.058102487651	3862.065221292903	53152.407871675736
A0A0G2JW01	NA	A0A0G2JW01	70548.63426787047	270341.3963732308	326171.9903359397	32072.241806252183	45627.585105784594	55525.14188002519	23788.827261834384	38064.347306002346	165523.44282368373	154366.3269246204	94019.56576873311	176977.28549741086	59507.59295936125	125233.11212674063
A0A0G2JWL1	NA	A0A0G2JWL1	0	40770.148491169864	0	207.61462590306243	18.631752616277133	4984.296239779991	0	11.917174951704544	15259.801966134079	1198.1089038461516	7281.828657498287	5311.125276934678	0	19111.58513389355
A0A0G2JWR3	NA	A0A0G2JWR3	0	0	0	0	0	0	0	0	0	0	2602.8634705838335	0	0	0
A0A0G2JWU1	NA	A0A0G2JWU1	0	0	0	0	0	0	0	0	0	0	0	0	40.13510285640389	0
A0A0G2JXG5	NA	A0A0G2JXG5	0	26951.956808713072	71052.95444372938	7213.96134490314	29.930537602750462	10814.738497807422	0	608.710444737133	1092.8400953871817	655.5787607517269	38927.494371745495	10308.288087728193	13610.550652368032	30293.949426759697
A0A0G2JY70	NA	A0A0G2JY70	0	41093.38570940827	0	381.34690687766494	0	0	0	106.09983753323631	697.4560402600717	25.69043107249857	8308.2292926879	569.479707232696	0	246.74564505185245
A0A0G2JYJ5	NA	A0A0G2JYJ5	0	0	0	0	0	0	0	0	0	0	1522.3822961519288	5.191455972268335	0	0
A0A0G2JYY1	NA	A0A0G2JYY1	0	0	0	0	0	1263.0132895366025	0	0	0	0	3051.2050290714483	7.761902234912208	0	2898.939287856825
A0A0G2JZB6	NA	A0A0G2JZB6	77588.44842813993	315520.9722269264	848846.6117199765	104534.29441767688	37377.72423363964	91320.37957682005	30526.97095478899	4255.998816808754	99575.49941240177	122542.22061180207	73645.76679064675	82766.5632556202	37926.35999560308	71452.45912737303
A0A0G2K099	NA	A0A0G2K099	0	0	0	18803.449838268756	0	230.60002401143208	0	12.54308672015408	20.717939317657812	0	15426.254942517422	3.5317888260239423	47.566764208012415	1543.4579680084069
A0A0G2K0L4	NA	A0A0G2K0L4	0	0	0	0	0	0	0	0	0	0	8.067118488357066	6.870166330064012	0	0
A0A0G2K0P9	NA	A0A0G2K0P9	0	16.51298729313489	0	0	0	0	0	0	0	0	0	9.86139438577226	0	0
A0A0G2K0U9	NA	A0A0G2K0U9	0	0	0	0	0	0	0	0	0	0	0	0	0	6076.70346506898
A0A0G2K1W6;M0RD43;M0RB02;M0R6X6;M0R6H0;F7F9J5;A0A0G2KB45;A0A0G2K9M1;A0A0G2JVD7;A0A0G2K002	NA	A0A0G2K1W6	0	10.200543319452661	439.5661315535949	0	0	0	0	0	0	10.762548797448948	0	0	0	0
A0A0G2K2W1	NA	A0A0G2K2W1	0	8.40082889030134	0	0	0	0	0	5.702860923851727	0	322.0919623859449	0	5.265598692526924	0	1383.165415014808
A0A0G2K7M1	NA	A0A0G2K7M1	0	40990.930869405616	0	0	0	0	0	0	688.6991026621591	18.3208918619878	401.05104336938734	18010.12129511483	0	14393.009277644605
A0A0G2K7N7	NA	A0A0G2K7N7	0	81501.95679312934	2932.937260527075	4936.278549945042	0	0	0	82.08131095457266	1217.0232313910067	1338.1305222452047	13691.07486796491	11150.992646764764	0	0
